"species","year","cell","juv_mean","juv_sd"
"Setophaga_citrina",1999,676,201.808333333333,4.39372446693434
"Setophaga_citrina",2000,676,194.6955,6.66084385721121
"Setophaga_citrina",2001,646,190.546666666667,8.826577685292
"Setophaga_citrina",2001,676,197.186666666667,4.26331461785436
"Setophaga_citrina",2001,703,202.596166666667,5.39075709115997
"Setophaga_citrina",2002,646,183.6115,6.21696680030002
"Setophaga_citrina",2002,676,194.161166666667,7.67624122984629
"Setophaga_citrina",2003,676,194.235,4.20682674136599
"Setophaga_citrina",2003,703,194.138166666667,8.34020402264909
"Setophaga_citrina",2004,646,192.407833333333,5.13655877135242
"Setophaga_citrina",2004,676,193.811166666667,8.4732013526421
"Setophaga_citrina",2005,676,198.663333333333,8.16123498711897
"Setophaga_citrina",2006,674,162.6875,8.13987428294956
"Setophaga_citrina",2007,676,193.906333333333,8.35089912174606
"Setophaga_citrina",2012,646,188.311,9.06754187855157
"Setophaga_citrina",2013,646,201.676666666667,4.92315906081436
"Setophaga_citrina",2014,646,193.697333333333,8.23703229359477
"Setophaga_discolor",1998,676,178.788333333333,8.56664627846271
"Setophaga_discolor",1998,703,183.798333333333,9.07393997224977
"Setophaga_discolor",1999,646,192.618166666667,8.00795799215315
"Setophaga_discolor",1999,701,190.014333333333,7.40551156160984
"Setophaga_discolor",2000,646,195.769833333333,7.3777319319896
"Setophaga_discolor",2000,703,183.952166666667,6.56049174840467
"Setophaga_discolor",2001,701,175.247666666667,8.35976328388446
"Setophaga_discolor",2003,644,186.103,8.10168689564664
"Setophaga_discolor",2003,701,187.857666666667,8.58592030944551
"Setophaga_discolor",2003,703,175.996666666667,7.50060211322391
"Setophaga_discolor",2004,644,182.914,7.8179573681089
"Setophaga_discolor",2004,646,187.560333333333,5.87694220071067
"Setophaga_discolor",2004,701,174.7725,9.86307712963239
"Setophaga_discolor",2005,703,181.079666666667,4.92138427945769
"Setophaga_discolor",2006,644,177.894666666667,6.45650983959397
"Setophaga_discolor",2008,646,192.952833333333,6.993885022659
"Setophaga_discolor",2010,701,188.85,7.83513868626707
"Setophaga_magnolia",1998,568,200.8305,6.1787646504325
"Setophaga_magnolia",1998,738,199.771833333333,3.98498264153448
"Setophaga_magnolia",1999,568,205.1035,2.68892657722178
"Setophaga_magnolia",2000,568,194.153666666667,5.47701739168382
"Setophaga_magnolia",2000,738,200.851333333333,5.9427645893178
"Setophaga_magnolia",2001,568,200.372833333333,5.35866412324501
"Setophaga_magnolia",2001,738,199.036333333333,5.78892032149666
"Setophaga_magnolia",2002,568,201.411166666667,2.97448873524424
"Setophaga_magnolia",2005,568,207.5075,3.91512006340186
"Setophaga_magnolia",2006,568,206.290166666667,7.51991100229712
"Setophaga_magnolia",2007,568,188.696166666667,5.40971929179555
"Setophaga_pensylvanica",1995,508,203.7285,5.58897669763924
"Setophaga_pensylvanica",1996,508,207.0165,6.20190602608527
"Setophaga_pensylvanica",1997,508,205.218833333333,3.87553634170526
"Setophaga_pensylvanica",1998,508,196.925,5.97422158560642
"Setophaga_pensylvanica",1998,621,196.912333333333,5.43472513212636
"Setophaga_pensylvanica",1998,738,199.608666666667,7.76379874700864
"Setophaga_pensylvanica",1999,621,192.7685,6.96735232469284
"Setophaga_pensylvanica",2000,621,194.841333333333,5.27887007800334
"Setophaga_pensylvanica",2000,738,193.194833333333,8.49087092826224
"Setophaga_pensylvanica",2001,621,190.532666666667,4.73296944023262
"Setophaga_pensylvanica",2003,621,198.848166666667,4.3578984061864
"Setophaga_pensylvanica",2004,621,191.4565,3.35096691218238
"Setophaga_pensylvanica",2005,621,195.082833333333,4.00690834991805
"Setophaga_pensylvanica",2006,621,199.905333333333,3.19766723328815
"Setophaga_pensylvanica",2007,564,199.373333333333,7.79237292067344
"Setophaga_pensylvanica",2007,621,193.284166666667,9.97284607899745
"Setophaga_pensylvanica",2008,621,202.6175,5.27568313637446
"Setophaga_pensylvanica",2009,621,193.963833333333,7.20704624365271
"Setophaga_pensylvanica",2011,567,195.201166666667,7.67518838368217
"Setophaga_pensylvanica",2011,621,198.221666666667,7.55943481560256
"Setophaga_pensylvanica",2013,567,189.1675,8.80666622385166
"Setophaga_pensylvanica",2013,621,199.308,4.0335485930351
"Setophaga_pensylvanica",2014,567,158.853833333333,9.98380762575115
"Setophaga_pensylvanica",2015,567,181.323,5.03930254053235
"Setophaga_pensylvanica",2016,567,200.944833333333,2.99231498404098
"Setophaga_petechia",1990,621,188.865166666667,9.10200313387464
"Setophaga_petechia",1991,594,187.157833333333,1.80558356057571
"Setophaga_petechia",1991,595,177.084,8.28553271323317
"Setophaga_petechia",1992,594,190.034,2.07394009988789
"Setophaga_petechia",1992,595,185.875,7.66990957696502
"Setophaga_petechia",1992,619,187.3975,2.73466758817282
"Setophaga_petechia",1992,621,189.552833333333,4.79778196227331
"Setophaga_petechia",1993,562,187.972833333333,3.82245957097663
"Setophaga_petechia",1993,594,190.975,2.30512340934755
"Setophaga_petechia",1993,619,191.796166666667,3.77902087919033
"Setophaga_petechia",1993,621,184.093833333333,3.10525936836947
"Setophaga_petechia",1994,533,191.536333333333,4.50622505351516
"Setophaga_petechia",1994,594,190.706833333333,2.16502529499701
"Setophaga_petechia",1994,619,190.652,4.26078103667709
"Setophaga_petechia",1995,594,186.285,2.29411976530933
"Setophaga_petechia",1995,619,182.256,3.50483161375457
"Setophaga_petechia",1995,621,189.920833333333,2.59673316741363
"Setophaga_petechia",1996,594,192.461333333333,2.06935221554658
"Setophaga_petechia",1996,595,194.186666666667,7.39361885832591
"Setophaga_petechia",1996,619,182.6885,2.73210147683914
"Setophaga_petechia",1996,621,193.640833333333,3.31089005722792
"Setophaga_petechia",1997,594,194.439166666667,4.21682300295636
"Setophaga_petechia",1997,619,190.737,3.32836456363253
"Setophaga_petechia",1997,621,198.0145,3.31201620243936
"Setophaga_petechia",1998,619,183.326833333333,4.06588676815085
"Setophaga_petechia",1999,619,180.217833333333,2.42260744034685
"Setophaga_petechia",1999,621,185.788,3.76281133261477
"Setophaga_petechia",2000,567,189.0145,1.53297578338953
"Setophaga_petechia",2000,619,181.348833333333,2.92071402239629
"Setophaga_petechia",2000,622,197.981666666667,5.71280169789122
"Setophaga_petechia",2001,567,194.2865,2.48450797543095
"Setophaga_petechia",2001,622,193.739666666667,6.57110516778392
"Setophaga_petechia",2002,567,190.896,2.10790366865109
"Setophaga_petechia",2002,591,188.176666666667,6.71108252522142
"Setophaga_petechia",2002,619,198.013666666667,3.35783050890154
"Setophaga_petechia",2003,567,188.492,4.63200949034575
"Setophaga_petechia",2003,591,189.851666666667,7.12849678870892
"Setophaga_petechia",2003,619,185.286,2.91958181817171
"Setophaga_petechia",2003,621,196.626,3.97514246616031
"Setophaga_petechia",2004,567,188.8335,1.95390567186915
"Setophaga_petechia",2004,591,184.768666666667,4.85163971837169
"Setophaga_petechia",2004,619,192.4695,4.03263108101554
"Setophaga_petechia",2004,621,186.4155,3.4758509759004
"Setophaga_petechia",2004,622,178.731666666667,8.97950086557458
"Setophaga_petechia",2005,567,197.340166666667,3.64161093390291
"Setophaga_petechia",2005,591,190.830833333333,5.93622403256899
"Setophaga_petechia",2005,619,180.966166666667,8.54284410114366
